time,P
01/01/2011 00:00:00,0.061
01/01/2011 03:00:00,0.054
01/01/2011 06:00:00,0.051
01/01/2011 09:00:00,0.163
01/01/2011 12:00:00,0.091
01/01/2011 15:00:00,0.062
01/01/2011 18:00:00,0.132
01/01/2011 21:00:00,0.07
01/02/2011 00:00:00,0.057
01/02/2011 03:00:00,0.051
01/02/2011 06:00:00,0.048
01/02/2011 09:00:00,0.174
01/02/2011 12:00:00,0.091
01/02/2011 15:00:00,0.087
01/02/2011 18:00:00,0.065
01/02/2011 21:00:00,0.128
01/03/2011 00:00:00,0.076
01/03/2011 03:00:00,0.061
01/03/2011 06:00:00,0.054
01/03/2011 09:00:00,0.051
01/03/2011 12:00:00,0.117
01/03/2011 15:00:00,0.075
01/03/2011 18:00:00,0.142
01/03/2011 21:00:00,0.079
01/04/2011 00:00:00,0.123
01/04/2011 03:00:00,0.076
01/04/2011 06:00:00,0.065
01/04/2011 09:00:00,0.056
01/04/2011 12:00:00,0.088
01/04/2011 15:00:00,0.062
01/04/2011 18:00:00,0.125
01/04/2011 21:00:00,0.111
01/05/2011 00:00:00,0.069
01/05/2011 03:00:00,0.054
01/05/2011 06:00:00,0.047
01/05/2011 09:00:00,0.132
01/05/2011 12:00:00,0.136
01/05/2011 15:00:00,0.073
01/05/2011 18:00:00,0.057
01/05/2011 21:00:00,0.092
01/06/2011 00:00:00,0.103
01/06/2011 03:00:00,0.065
01/06/2011 06:00:00,0.057
01/06/2011 09:00:00,0.048
01/06/2011 12:00:00,0.116
01/06/2011 15:00:00,0.073
01/06/2011 18:00:00,0.063
01/06/2011 21:00:00,0.052
01/07/2011 00:00:00,0.136
01/07/2011 03:00:00,0.079
01/07/2011 06:00:00,0.062
01/07/2011 09:00:00,0.054
01/07/2011 12:00:00,0.111
01/07/2011 15:00:00,0.075
01/07/2011 18:00:00,0.065
01/07/2011 21:00:00,0.105
01/08/2011 00:00:00,0.09
01/08/2011 03:00:00,0.061
01/08/2011 06:00:00,0.05
01/08/2011 09:00:00,0.12
01/08/2011 12:00:00,0.077
01/08/2011 15:00:00,0.06
01/08/2011 18:00:00,0.054
01/08/2011 21:00:00,0.078
01/09/2011 00:00:00,0.057
01/09/2011 03:00:00,0.05
01/09/2011 06:00:00,0.048
01/09/2011 09:00:00,0.126
01/09/2011 12:00:00,0.067
01/09/2011 15:00:00,0.105
01/09/2011 18:00:00,0.057
01/09/2011 21:00:00,0.106
01/10/2011 00:00:00,0.062
01/10/2011 03:00:00,0.051
01/10/2011 06:00:00,0.048
01/10/2011 09:00:00,0.046
01/10/2011 12:00:00,0.091
01/10/2011 15:00:00,0.062
01/10/2011 18:00:00,0.052
01/10/2011 21:00:00,0.078
01/11/2011 00:00:00,0.075
01/11/2011 03:00:00,0.054
01/11/2011 06:00:00,0.048
01/11/2011 09:00:00,0.142
01/11/2011 12:00:00,0.142
01/11/2011 15:00:00,0.097
01/11/2011 18:00:00,0.115
01/11/2011 21:00:00,0.124
01/12/2011 00:00:00,0.074
01/12/2011 03:00:00,0.065
01/12/2011 06:00:00,0.056
01/12/2011 09:00:00,0.051
01/12/2011 12:00:00,0.125
01/12/2011 15:00:00,0.082
01/12/2011 18:00:00,0.115
01/12/2011 21:00:00,0.077
01/13/2011 00:00:00,0.109
01/13/2011 03:00:00,0.069
01/13/2011 06:00:00,0.062
01/13/2011 09:00:00,0.176
01/13/2011 12:00:00,0.1
01/13/2011 15:00:00,0.073
01/13/2011 18:00:00,0.103
01/13/2011 21:00:00,0.09
01/14/2011 00:00:00,0.064
01/14/2011 03:00:00,0.056
01/14/2011 06:00:00,0.051
01/14/2011 09:00:00,0.138
01/14/2011 12:00:00,0.081
01/14/2011 15:00:00,0.057
01/14/2011 18:00:00,0.048
01/14/2011 21:00:00,0.098
01/15/2011 00:00:00,0.062
01/15/2011 03:00:00,0.047
01/15/2011 06:00:00,0.04
01/15/2011 09:00:00,0.115
01/15/2011 12:00:00,0.072
01/15/2011 15:00:00,0.053
01/15/2011 18:00:00,0.136
01/15/2011 21:00:00,0.136
01/16/2011 00:00:00,0.136
01/16/2011 03:00:00,0.079
01/16/2011 06:00:00,0.065
01/16/2011 09:00:00,0.245
01/16/2011 12:00:00,0.112
01/16/2011 15:00:00,0.074
01/16/2011 18:00:00,0.106
01/16/2011 21:00:00,0.133
01/17/2011 00:00:00,0.084
01/17/2011 03:00:00,0.064
01/17/2011 06:00:00,0.057
01/17/2011 09:00:00,0.047
01/17/2011 12:00:00,0.087
01/17/2011 15:00:00,0.068
