时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮
01/01/2011 00:00:00,12.8,6.96,96,34,6.35,1.52,0.061,0.025
01/01/2011 03:00:00,12.3,6.92,97,23,5.78,1.38,0.054,0.025
01/01/2011 06:00:00,12,6.92,97,20,5.73,1.32,0.051,0.025
01/01/2011 09:00:00,11.6,6.95,97,19,5.97,4.4,0.163,0.53
01/01/2011 12:00:00,11.8,7.06,97,87,7.27,2.14,0.091,0.25
01/01/2011 15:00:00,11.9,6.99,98,54,6.36,1.56,0.062,0.06
01/01/2011 18:00:00,12,6.94,98,43,6.29,3.86,0.132,0.37
01/01/2011 21:00:00,11.6,7.02,102,44,7.11,2.07,0.07,0.11
01/02/2011 00:00:00,11.2,6.97,99,27,6.42,1.68,0.057,0.025
01/02/2011 03:00:00,11,6.95,100,23,6.17,1.61,0.051,0.025
01/02/2011 06:00:00,10.9,6.95,100,20,6.22,1.43,0.048,0.025
01/02/2011 09:00:00,10.3,6.98,102,19,6.49,4.2,0.174,0.52
01/02/2011 12:00:00,11,7.02,97,50,7.69,1.81,0.091,0.28
01/02/2011 15:00:00,12.4,7.06,95,53,7.37,1.82,0.087,0.3
01/02/2011 18:00:00,13.4,6.93,94,82,5.6,1.26,0.065,0.07
01/02/2011 21:00:00,13.1,6.89,94,52,5.25,2.7,0.128,0.46
01/03/2011 00:00:00,12.8,7,93,112,6.68,1.5,0.076,0.13
01/03/2011 03:00:00,12.7,6.91,93,49,5.83,1.32,0.061,0.025
01/03/2011 06:00:00,12.1,6.89,96,27,5.62,1.36,0.054,0.025
01/03/2011 09:00:00,11.4,6.91,94,19,5.78,1.28,0.051,0.025
01/03/2011 12:00:00,11.3,7.05,92,88,7.69,2.24,0.117,0.28
01/03/2011 15:00:00,10.9,6.97,91,55,7.14,1.64,0.075,0.08
01/03/2011 18:00:00,10.2,6.93,92,28,6.78,3.23,0.142,0.43
01/03/2011 21:00:00,10,7.07,93,49,7.57,1.94,0.079,0.17
01/04/2011 00:00:00,10,6.98,93,30,6.77,3.52,0.123,0.46
01/04/2011 03:00:00,9.9,7.01,98,33,5.84,2.36,0.076,0.17
01/04/2011 06:00:00,9.8,6.9,96,23,4.69,2.04,0.065,0.025
01/04/2011 09:00:00,9.5,6.85,94,19,4.2,1.8,0.056,0.025
01/04/2011 12:00:00,9.4,7.05,94,67,8.06,1.89,0.088,0.22
01/04/2011 15:00:00,9.9,6.97,95,33,7.25,1.55,0.062,0.08
01/04/2011 18:00:00,10.3,6.93,95,27,6.7,3.14,0.125,0.3
01/04/2011 21:00:00,10.2,7.02,98,36,7.6,2.69,0.111,0.34
01/05/2011 00:00:00,,7.02,98,36,7.55,1.71,0.069,0.08
01/05/2011 03:00:00,10.3,6.95,99,24,,1.54,0.054,0.025
01/05/2011 06:00:00,10.3,6.93,99,23,6.57,1.34,0.047,0.025
01/05/2011 09:00:00,10.1,6.94,99,19,6.64,2.87,0.132,0.42
01/05/2011 12:00:00,10.3,7.02,95,41,7.65,3.12,0.136,0.48
01/05/2011 15:00:00,10.7,7.13,101,40,8.48,2.55,0.073,0.35
01/05/2011 18:00:00,10.9,7,99,29,6.94,1.77,0.057,0.11
01/05/2011 21:00:00,10.7,7.1,103,46,7.95,2.93,0.092,0.26
01/06/2011 00:00:00,10.7,6.99,102,29,6.72,2.87,0.103,0.35
01/06/2011 03:00:00,10.5,7.02,95,29,7.16,1.85,0.065,0.11
01/06/2011 06:00:00,10.2,6.94,98,23,6.27,1.38,0.057,0.025
01/06/2011 09:00:00,9.9,6.91,98,20,6,1.39,0.048,0.025
01/06/2011 12:00:00,9.7,7.06,96,58,7.93,2.37,0.116,0.33
01/06/2011 15:00:00,9.6,6.99,97,35,7.2,1.51,0.073,0.13
01/06/2011 18:00:00,9.6,6.94,99,46,6.29,1.34,0.063,0.025
01/06/2011 21:00:00,9.2,6.9,97,23,6.31,1.23,0.052,0.025
01/07/2011 00:00:00,9,6.91,97,20,6.4,2.66,0.136,0.39
01/07/2011 03:00:00,8.9,6.99,101,38,7.8,1.5,0.079,0.15
01/07/2011 06:00:00,8.8,6.93,102,29,7.19,1.33,0.062,0.025
01/07/2011 09:00:00,8.8,6.9,102,24,6.87,1.08,0.054,0.025
01/07/2011 12:00:00,9.1,6.91,102,,6.89,1.85,0.111,0.36
01/07/2011 15:00:00,9.6,7,103,35,7.6,1.31,0.075,0.11
01/07/2011 18:00:00,9.9,6.93,103,27,6.83,1.13,0.065,0.025
01/07/2011 21:00:00,9.5,6.91,104,6,6.54,2.63,0.105,0.41
01/08/2011 00:00:00,9,7.1,102,68,8.16,2.55,0.09,0.56
01/08/2011 03:00:00,8.8,6.99,105,34,7.71,1.91,0.061,0.25
