时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素,蓝绿藻
10/10/2013 17:30:00,28.20,6.85,91.00,0.90,6.96,3.98,0.07,0.11,0.71,0.93,45.89
10/10/2013 17:40:00,28.20,6.85,91.00,0.60,6.86,3.98,0.07,0.11,0.71,0.90,45.98
10/10/2013 17:50:00,28.20,6.84,91.00,0.60,6.86,3.98,0.07,0.11,0.71,0.77,45.98
10/10/2013 18:00:00,28.10,6.82,91.00,0.30,6.84,3.98,0.07,0.11,0.71,0.73,46.02
10/10/2013 18:10:00,28.10,6.79,91.00,0.20,6.81,3.98,0.07,0.11,0.71,0.68,46.15
10/10/2013 18:20:00,28.10,6.79,91.00,0.30,6.74,3.98,0.07,0.11,0.71,0.62,45.98
10/10/2013 18:30:00,28.10,6.80,91.00,0.10,6.70,3.98,0.07,0.11,0.71,0.62,46.28
10/10/2013 18:40:00,28.10,6.78,91.00,0.00,6.65,3.98,0.07,0.11,0.71,0.57,46.15
10/10/2013 18:50:00,28.10,6.75,91.00,0.00,6.64,3.98,0.07,0.11,0.71,0.58,46.24
10/10/2013 19:00:00,28.00,6.70,91.00,,6.60,3.98,0.07,0.11,0.71,0.60,46.24
10/10/2013 19:10:00,28.00,6.76,91.00,,6.60,3.98,0.07,0.11,0.71,0.54,46.24
10/10/2013 19:20:00,28.00,6.74,91.00,,6.52,3.98,0.07,0.11,0.71,0.54,46.24
10/10/2013 19:30:00,28.00,6.72,91.00,,6.51,3.98,0.07,0.11,0.71,0.53,46.24
10/10/2013 19:40:00,28.00,6.69,91.00,,6.47,3.98,0.07,0.11,0.71,0.51,46.28
10/10/2013 19:50:00,28.00,6.71,91.00,,6.42,3.98,0.07,0.11,0.71,0.51,46.15
10/10/2013 20:00:00,28.00,6.70,91.00,,6.34,3.98,0.07,0.11,0.71,0.55,46.28
10/10/2013 20:10:00,27.30,5.83,92.00,5.60,6.98,3.98,0.07,0.11,0.71,5.27,42.48
10/10/2013 20:16:00,27.40,6.81,92.00,5.70,7.25,3.98,0.07,0.11,0.71,5.28,42.35
10/10/2013 21:16:00,27.40,5.59,91.00,1.10,6.95,3.40,0.07,0.10,0.71,0.95,45.59
10/10/2013 21:32:00,26.90,,,,,3.40,0.03,0.10,0.70,,0.00
10/10/2013 21:39:00,26.90,,91.00,,,3.40,0.03,0.10,0.70,,0.00
10/10/2013 21:45:00,26.90,5.57,91.00,2.70,6.78,3.40,0.03,0.10,0.70,1.97,44.90
10/10/2013 22:02:00,26.90,,,,,3.40,0.03,0.10,0.70,,0.00
10/10/2013 22:12:00,26.90,,,,,3.40,0.03,0.10,0.70,,0.00
10/10/2013 23:12:00,27.00,5.45,91.00,0.50,6.43,3.40,0.03,0.10,0.70,0.75,45.89
10/11/2013 00:12:00,27.00,5.47,91.00,5.30,6.85,3.40,0.03,0.10,0.70,4.82,42.65
10/11/2013 01:12:00,27.00,5.52,91.00,0.80,6.60,3.12,0.03,0.10,0.70,0.96,45.54
10/11/2013 02:12:00,26.70,5.46,91.00,2.00,6.44,3.12,0.03,0.10,0.66,1.43,45.11
10/11/2013 03:12:00,26.80,5.40,91.00,0.50,6.23,3.12,0.03,0.10,0.66,0.73,45.85
10/11/2013 04:12:00,26.80,5.32,91.00,4.40,6.34,3.12,0.03,0.10,0.66,3.80,43.43
10/11/2013 05:12:00,26.70,5.50,91.00,0.70,6.17,3.81,0.03,0.09,0.66,0.91,45.76
10/11/2013 06:12:00,26.20,5.36,91.00,1.70,5.81,3.81,0.02,0.09,0.69,1.75,45.11
10/11/2013 08:12:00,26.70,5.29,91.00,4.80,6.36,3.81,0.02,0.09,0.69,5.98,42.53
10/11/2013 09:12:00,26.60,5.46,91.00,0.80,6.22,3.39,0.02,0.07,0.69,1.00,45.76
10/11/2013 09:26:00,,,,,,3.39,0.03,0.07,0.65,,0.00
10/11/2013 10:00:00,26.70,5.46,91.00,2.30,6.53,3.39,0.03,0.07,0.65,4.45,43.78
10/11/2013 12:00:00,27.60,7.95,,,8.55,3.39,0.03,0.07,0.65,0.05,46.02
10/11/2013 16:00:00,28.10,8.36,0.00,8.70,8.57,4.64,0.04,0.06,0.76,0.14,37.61
10/11/2013 20:00:00,27.80,6.47,106.00,5.50,9.52,5.34,0.05,0.06,0.87,20.11,35.11
10/12/2013 00:00:00,27.30,6.12,105.00,2.50,8.04,3.68,0.03,0.06,0.64,5.30,42.74
10/12/2013 04:00:00,26.90,5.92,105.00,2.30,7.91,3.57,0.03,0.06,0.64,4.43,43.04
10/12/2013 12:00:00,26.70,5.90,103.00,2.00,7.86,3.45,0.03,0.05,0.65,4.47,42.96
10/12/2013 12:10:00,27.30,5.23,103.00,4.70,9.26,3.45,0.03,0.05,0.65,7.77,39.29
10/12/2013 12:20:00,27.30,6.58,103.00,4.90,9.04,3.45,0.03,0.05,0.65,7.63,39.94
10/12/2013 12:30:00,27.30,6.63,103.00,4.30,8.96,3.45,0.03,0.05,0.65,7.10,40.28
10/12/2013 12:40:00,27.30,6.56,103.00,4.00,8.89,3.45,0.03,0.05,0.65,6.70,40.50
10/12/2013 12:50:00,27.30,6.59,103.00,4.10,8.81,3.45,0.03,0.05,0.65,6.20,40.89
10/12/2013 13:00:00,27.20,6.53,103.00,3.40,8.75,3.45,0.03,0.05,0.65,6.50,41.23
10/12/2013 13:10:00,26.60,4.36,105.00,3.30,6.35,4.24,0.03,0.05,0.65,3.73,43.99
10/12/2013 13:20:00,27.30,6.30,102.00,4.40,8.40,4.24,0.03,0.05,0.65,7.04,40.50
10/12/2013 13:30:00,27.30,6.29,102.00,3.80,8.41,4.24,0.03,0.05,0.63,6.67,40.63
10/12/2013 13:40:00,27.30,6.23,102.00,3.80,8.35,4.24,0.03,0.05,0.63,6.62,41.10
10/12/2013 13:50:00,27.20,6.23,102.00,3.50,8.32,4.24,0.03,0.05,0.63,6.48,41.10
10/12/2013 14:00:00,27.20,6.23,102.00,3.70,8.31,4.24,0.03,0.05,0.63,6.14,41.45
10/12/2013 14:10:00,27.20,6.20,102.00,3.40,8.25,4.24,0.03,0.05,0.63,6.07,41.75
10/12/2013 14:20:00,27.20,6.18,103.00,3.10,8.26,4.24,0.03,0.05,0.63,5.65,41.83
10/12/2013 14:30:00,27.20,6.19,103.00,3.00,8.19,4.24,0.03,0.05,0.63,5.55,42.14
10/12/2013 14:40:00,27.20,6.12,103.00,2.90,8.15,4.24,0.03,0.05,0.63,5.37,42.22
10/12/2013 14:50:00,27.20,6.14,103.00,2.60,8.16,4.24,0.03,0.05,0.63,5.09,42.40
10/12/2013 15:00:00,27.20,6.13,103.00,2.70,8.12,4.24,0.03,0.05,0.63,4.95,42.40
10/12/2013 15:10:00,27.20,6.08,102.00,2.40,8.10,4.24,0.03,0.05,0.63,4.66,42.70
10/12/2013 15:20:00,27.20,6.07,103.00,2.30,7.96,4.24,0.03,0.05,0.63,4.48,42.48
10/12/2013 15:30:00,27.20,6.01,102.00,2.30,7.97,4.24,0.03,0.05,0.63,4.36,42.74
10/12/2013 15:50:00,27.20,6.05,103.00,2.00,7.92,4.24,0.03,0.05,0.63,4.09,43.09
10/12/2013 23:00:00,26.60,5.96,103.00,2.60,8.00,4.12,0.03,0.06,0.63,5.12,42.65
10/12/2013 23:01:00,26.60,5.99,103.00,2.40,8.02,4.12,0.03,0.06,0.63,5.16,42.61
10/13/2013 01:00:00,26.70,6.23,104.00,3.00,8.34,4.12,0.03,0.06,0.63,7.06,41.36
