时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,挥发酚,六价铬,氯化物
01/01/2012 02:00:00,15.30,6.38,126.00,8.80,7.91,1.71,0.09,0.01,0.00,0.00,2.00
01/01/2012 05:00:00,15.30,6.38,126.00,9.80,8.06,1.60,0.10,0.01,0.00,0.00,2.10
01/01/2012 08:00:00,15.30,6.39,127.00,8.80,8.09,1.63,0.10,0.01,0.00,0.00,2.10
01/01/2012 11:00:00,15.60,6.40,127.00,9.10,7.98,1.55,0.09,0.03,0.00,0.00,2.10
01/01/2012 14:00:00,16.30,6.40,126.00,8.90,7.39,,0.09,0.02,0.00,0.00,1.90
01/01/2012 17:00:00,16.00,6.41,127.00,9.90,7.72,1.64,0.10,0.01,0.00,0.00,2.00
01/01/2012 20:00:00,15.50,6.42,130.00,8.30,8.07,1.60,0.10,0.07,0.00,0.00,2.20
01/01/2012 23:00:00,15.50,6.39,127.00,8.10,7.76,1.47,0.09,0.03,0.00,0.00,2.00
01/02/2012 02:00:00,15.30,6.39,126.00,8.20,7.95,1.76,0.09,0.01,0.00,0.00,2.00
01/02/2012 05:00:00,15.30,6.39,127.00,8.30,7.82,1.74,0.09,0.02,0.00,0.00,2.00
01/02/2012 08:00:00,15.20,6.40,129.00,8.80,8.06,1.65,0.10,0.03,0.00,0.00,2.10
01/02/2012 11:00:00,15.50,6.40,127.00,7.60,7.90,1.64,0.09,0.02,0.00,0.00,2.10
01/02/2012 14:00:00,15.80,6.41,127.00,8.50,7.84,1.50,0.09,0.01,0.00,0.00,1.90
01/02/2012 17:00:00,15.70,6.42,127.00,7.10,8.01,1.55,0.09,0.01,0.00,0.00,1.90
01/02/2012 20:00:00,15.50,6.43,130.00,7.70,7.95,1.57,0.10,0.06,0.00,0.00,2.00
01/02/2012 23:00:00,15.30,6.39,128.00,7.20,7.73,1.69,0.09,0.02,0.00,0.00,1.90
01/03/2012 02:00:00,15.20,6.40,127.00,7.50,7.93,1.51,0.09,0.01,0.00,0.00,1.90
01/03/2012 05:00:00,15.20,6.40,126.00,6.40,7.79,1.42,0.09,0.01,0.00,0.00,1.90
01/03/2012 08:00:00,15.30,6.41,127.00,6.40,8.08,1.89,0.09,0.02,0.00,0.00,2.00
01/03/2012 11:00:00,15.30,6.41,127.00,7.20,7.89,1.59,0.09,0.01,0.00,0.00,2.00
01/03/2012 14:00:00,15.20,6.41,127.00,7.20,8.03,1.61,0.09,0.02,0.00,0.00,2.00
01/03/2012 17:00:00,15.20,6.41,126.00,7.00,8.05,1.56,0.09,0.02,0.00,0.00,1.90
01/03/2012 20:00:00,15.10,6.40,128.00,7.10,8.37,1.58,0.09,0.01,0.00,0.00,2.10
01/03/2012 23:00:00,14.90,6.40,129.00,7.10,8.33,1.72,0.09,0.03,0.00,0.00,2.10
01/04/2012 02:00:00,14.60,6.39,127.00,6.70,8.04,1.54,0.09,0.02,0.00,0.00,2.10
01/04/2012 05:00:00,14.50,6.39,126.00,6.10,8.52,1.70,0.09,0.02,0.00,0.00,2.00
01/04/2012 08:00:00,14.60,6.43,126.00,9.90,8.55,1.57,0.09,0.02,0.00,0.00,2.10
01/04/2012 11:00:00,14.50,6.40,130.00,6.70,8.38,1.60,0.10,0.03,0.00,0.00,2.30
01/04/2012 14:00:00,14.20,6.39,127.00,6.20,8.61,1.60,0.09,0.03,0.00,0.00,2.30
01/04/2012 17:00:00,14.10,6.39,126.00,5.70,8.53,1.55,0.09,0.03,0.00,0.00,2.00
01/04/2012 20:00:00,14.20,6.41,126.00,7.30,8.84,1.51,0.09,0.01,0.00,0.00,2.10
01/04/2012 23:00:00,14.10,6.42,128.00,6.20,8.80,1.50,0.09,0.03,0.00,0.00,2.20
01/05/2012 02:00:00,13.80,6.40,128.00,5.40,8.81,1.63,0.09,0.04,0.00,0.00,2.30
01/05/2012 05:00:00,,,,,,,,,,,
01/05/2012 15:57:00,13.60,5.89,129.00,5.80,9.44,1.62,0.10,0.04,0.00,0.00,2.20
01/05/2012 18:57:00,13.60,6.42,127.00,5.70,8.80,1.59,0.09,0.04,0.00,0.00,2.00
01/05/2012 21:57:00,13.70,6.44,128.00,6.50,8.96,1.54,0.10,0.02,0.00,0.00,2.10
01/06/2012 00:57:00,13.50,6.43,128.00,5.50,8.92,1.56,0.09,0.01,0.00,0.00,2.10
01/06/2012 03:57:00,13.40,6.43,128.00,6.80,8.81,1.83,0.10,0.02,0.00,0.00,2.20
01/06/2012 06:57:00,13.30,6.42,127.00,6.30,8.82,1.68,0.09,0.02,0.00,0.00,2.00
01/06/2012 09:57:00,13.50,6.42,128.00,7.10,8.96,1.48,0.09,0.01,0.00,0.00,2.10
01/06/2012 12:57:00,13.60,6.44,130.00,7.60,8.88,1.57,0.10,0.07,0.00,0.01,2.20
01/06/2012 15:57:00,13.50,6.42,129.00,7.20,8.68,1.83,0.10,0.06,0.00,0.01,2.00
01/06/2012 18:57:00,13.40,6.43,128.00,7.00,8.79,1.55,0.09,0.03,0.00,0.00,2.00
01/06/2012 21:57:00,13.60,6.44,128.00,7.60,8.82,1.64,0.10,0.02,0.00,0.00,2.00
01/07/2012 00:57:00,13.60,6.44,131.00,7.60,8.68,1.72,0.10,0.08,0.00,0.00,2.10
01/07/2012 03:57:00,13.50,6.41,130.00,7.60,8.54,1.62,0.10,0.04,0.00,0.00,2.10
01/07/2012 06:57:00,13.30,6.42,128.00,9.10,8.67,1.62,0.10,0.04,0.00,0.00,1.90
01/07/2012 09:57:00,13.60,6.44,128.00,7.40,8.67,1.81,0.10,0.04,0.00,0.00,2.00
01/07/2012 12:57:00,13.80,6.44,135.00,8.40,8.58,1.67,0.42,0.04,0.04,0.00,2.20
01/07/2012 15:57:00,13.80,6.37,130.00,9.30,8.38,1.75,0.10,1.24,0.05,0.15,2.00
01/07/2012 18:57:00,13.60,6.41,129.00,9.30,8.62,1.74,0.10,0.23,0.02,0.00,1.90
01/07/2012 21:57:00,13.70,6.41,128.00,7.90,8.65,1.58,0.10,0.13,0.01,0.00,2.00
01/08/2012 00:57:00,13.70,6.45,133.00,9.00,8.54,1.61,0.11,0.20,0.02,0.00,2.20
01/08/2012 03:57:00,13.60,6.41,130.00,7.60,8.60,1.77,0.10,0.13,0.01,0.00,2.10
01/08/2012 06:57:00,13.60,6.43,128.00,8.30,8.62,1.57,0.10,0.11,0.02,0.00,1.90
01/08/2012 09:57:00,13.90,6.43,126.00,7.10,8.55,1.61,0.09,0.09,0.00,0.00,1.90
01/08/2012 12:57:00,13.90,6.44,132.00,9.20,8.51,1.60,0.09,0.16,0.00,0.00,2.20
01/08/2012 15:57:00,14.10,6.43,129.00,8.40,8.63,1.53,0.09,0.12,0.00,0.00,2.00
01/08/2012 18:57:00,13.90,6.46,129.00,8.40,8.47,1.61,0.09,0.12,0.00,0.00,2.00
01/08/2012 21:57:00,14.00,6.45,127.00,6.70,8.51,0.25,0.10,0.09,0.00,0.00,2.00
01/09/2012 00:57:00,13.90,6.42,132.00,10.70,8.65,1.48,0.11,0.16,0.00,0.00,2.20
01/09/2012 03:57:00,13.90,6.42,129.00,7.40,8.68,1.51,0.10,0.12,0.00,0.00,2.00
01/09/2012 06:57:00,13.90,6.44,128.00,7.80,8.48,0.25,0.11,0.11,0.00,0.00,2.00
01/09/2012 08:42:00,14.10,6.44,127.00,8.00,8.64,1.36,0.10,0.09,0.00,0.00,2.00
01/09/2012 11:00:00,14.30,6.44,126.00,7.20,8.51,0.25,0.10,0.09,0.00,0.00,1.90
01/09/2012 14:00:00,14.20,6.45,134.00,12.20,8.68,1.77,0.12,0.20,0.00,0.00,2.10
01/09/2012 17:00:00,14.30,6.43,129.00,8.40,8.59,1.53,0.10,0.13,0.00,0.00,1.90
01/09/2012 20:00:00,14.20,6.46,128.00,8.10,8.42,1.62,0.11,0.12,0.00,0.00,1.90
01/09/2012 23:00:00,14.20,6.46,127.00,7.20,8.52,1.53,0.10,0.10,0.00,0.00,1.90
01/10/2012 02:00:00,13.90,6.44,134.00,9.90,8.55,1.74,0.12,0.22,0.00,0.00,2.40
01/10/2012 05:00:00,13.90,6.44,129.00,8.00,8.73,1.54,0.10,0.13,0.00,0.00,2.00
01/10/2012 08:00:00,14.00,6.46,128.00,7.70,8.62,1.62,0.10,0.10,0.00,0.00,2.10
01/10/2012 11:00:00,14.60,6.47,126.00,20.10,8.52,1.74,0.10,0.11,0.00,0.00,1.90
01/10/2012 14:00:00,14.50,6.47,134.00,16.80,8.50,1.96,0.13,0.21,0.00,0.00,2.20
01/10/2012 17:00:00,14.60,6.45,130.00,11.00,8.59,1.84,0.11,0.17,0.00,0.00,2.00
01/10/2012 20:00:00,14.50,6.47,128.00,9.40,8.38,1.73,0.10,0.12,0.00,0.00,1.90
01/10/2012 23:00:00,14.50,6.46,126.00,7.70,8.50,1.57,0.10,0.09,0.00,0.00,2.00
01/11/2012 02:00:00,14.20,6.46,132.00,11.70,8.49,1.91,0.12,0.16,0.00,0.00,2.40
01/11/2012 05:00:00,14.10,6.43,128.00,8.80,8.66,1.65,0.11,0.12,0.00,0.00,2.10
01/11/2012 08:00:00,14.10,6.46,127.00,8.00,8.63,1.68,0.10,0.10,0.00,0.00,2.10
01/11/2012 11:00:00,14.30,6.44,126.00,7.70,8.55,1.55,0.10,0.09,0.00,0.00,2.10
01/11/2012 14:00:00,14.20,6.45,132.00,19.50,8.79,1.89,0.14,0.15,0.00,0.00,2.40
01/11/2012 17:00:00,14.20,6.42,133.00,13.40,8.67,0.25,0.12,0.19,0.00,0.00,2.30
01/11/2012 20:00:00,14.10,6.41,128.00,9.10,8.54,1.62,0.11,0.11,0.00,0.00,2.10
01/11/2012 23:00:00,14.10,6.44,126.00,7.70,8.69,1.56,0.10,0.07,0.00,0.00,2.10
01/12/2012 02:00:00,13.80,6.40,129.00,12.50,8.67,1.73,0.12,0.12,0.00,0.00,2.20
01/12/2012 05:00:00,13.90,6.43,130.00,11.30,8.76,1.68,0.11,0.12,0.00,0.00,2.30
01/12/2012 08:00:00,13.80,6.43,128.00,8.60,8.73,1.71,0.10,0.08,0.00,0.00,2.20
01/12/2012 11:00:00,13.90,6.43,127.00,8.50,8.74,1.67,0.10,0.07,0.00,0.00,2.00
01/12/2012 14:00:00,14.00,6.45,129.00,15.70,8.74,1.80,0.12,0.01,0.00,0.00,2.10
01/12/2012 17:00:00,14.00,6.43,134.00,11.60,8.61,1.76,0.12,0.14,0.00,0.00,2.20
01/12/2012 20:00:00,13.90,6.42,129.00,9.00,8.57,1.57,0.10,0.10,0.00,0.00,2.10
01/12/2012 23:00:00,13.90,6.46,127.00,7.20,8.58,1.73,0.10,0.06,0.00,0.00,2.00
01/13/2012 02:00:00,14.00,6.46,129.00,13.10,8.65,0.25,0.11,0.08,0.00,0.00,2.20
01/13/2012 05:00:00,13.90,6.45,131.00,10.90,8.71,1.86,0.11,0.12,0.00,0.00,2.20
01/13/2012 08:00:00,13.80,6.44,129.00,8.00,8.53,1.69,0.10,0.08,0.00,0.00,2.20
01/13/2012 11:00:00,13.90,6.47,129.00,8.60,8.63,1.51,0.11,0.07,0.00,0.00,2.00
01/13/2012 14:00:00,14.30,6.50,128.00,11.50,8.62,1.79,0.11,0.06,0.00,0.00,2.00
01/13/2012 17:00:00,14.10,6.48,134.00,14.90,8.58,1.83,0.12,0.17,0.00,0.00,2.40
01/13/2012 20:00:00,14.20,6.42,129.00,9.10,8.54,1.40,0.10,0.10,0.00,0.00,2.10
01/13/2012 23:00:00,14.20,6.47,129.00,8.60,8.38,1.59,0.10,0.07,0.00,0.00,2.00
01/14/2012 02:00:00,14.30,6.46,128.00,9.70,8.63,1.66,0.10,0.06,0.00,0.00,2.10
01/14/2012 05:00:00,14.20,6.47,134.00,12.30,8.49,1.82,0.12,0.17,0.00,0.00,2.20
01/14/2012 08:00:00,14.30,6.42,129.00,9.80,8.48,1.60,0.10,0.09,0.00,0.00,2.20
