时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,氰化物
01/01/2011,13.1,8.02,681,91.6,6.15,1.7,0.43,7.65,17.06,0
01/02/2011,12.6,7.93,474,95.8,6.04,4.97,0.41,2.64,9.21,0
01/03/2011,12.9,7.95,658,84.1,5.2,3.33,0.43,7.61,14.94,0
01/04/2011,13.1,7.83,536,80.6,4.29,2.2,0.45,4.32,11.4,0
01/05/2011,13.4,7.8,605,67,3.79,1.33,0.5,6.21,14,0
01/06/2011,13.7,7.94,592,65.5,4.71,2.55,0.52,5.03,13.02,0
01/07/2011,13.4,8.07,642,35.2,7.77,6.45,0.51,7.68,13.82,0
01/08/2011,12.4,8.05,648,44.7,7.44,7.23,0.57,7.96,14.22,0
01/09/2011,12.4,8.05,668,34.8,7.18,5.88,0.58,9.59,15.61,0
01/10/2011,13.1,8.02,631,42.7,5.54,5.11,0.56,7.27,13.77,0
01/11/2011,13,8.14,791,75.4,7.97,7.77,0.66,11.03,19.42,0
01/12/2011,12.1,8.14,599,62.9,8.64,5.11,0.55,6.27,13.01,0
01/13/2011,11.3,8.15,625,58.7,9.49,4.94,0.58,7.1,14.17,0
01/14/2011,12.1,8.08,566,59.3,9.64,3.61,0.57,6.1,13.13,0
01/15/2011,12.9,8.01,534,41.2,8.3,2.7,0.58,4.14,11.74,0
01/16/2011,13.1,7.99,724,40.3,7.36,5.43,0.57,8.97,16.6,0
01/17/2011,11.9,7.99,650,38.8,6.57,6.76,0.61,7.11,13.67,0
01/18/2011,11.5,8.11,791,62.2,7.72,8.15,0.62,12.47,20.12,0
01/19/2011,12.4,8.17,751,75.7,9.49,6.26,0.53,12.76,20.79,0
01/20/2011,13.6,8.09,605,54.9,8.67,4.6,0.55,9.26,15.17,0
01/21/2011,14.4,8.09,720,66.1,8.27,5.22,0.56,11.25,18.16,0
01/22/2011,13.7,8.21,742,461.9,10.92,6.51,0.74,10.92,22.16,0
01/23/2011,13.4,8.23,600,326.4,11.88,7.08,0.75,5.93,15.57,0
01/24/2011,13.2,8.18,672,279.5,11.78,6.01,0.77,8.53,15.09,0
01/25/2011,13.2,8.18,801,236.9,11.77,7.65,0.74,16.51,24.56,0
01/26/2011,12.8,8.11,803,170.9,10.97,6.08,0.65,13.51,20.41,0
01/27/2011,13.2,8.15,601,70.9,9.42,3.83,0.62,7.84,12.76,0
01/28/2011,13.9,8.23,775,44.6,8.83,4.13,0.68,13.84,19.31,0
01/29/2011,13.8,8.15,603,40.6,7.79,5.22,0.65,8.02,14.6,0
01/30/2011,13.2,8.17,796,40.9,8.28,6.76,0.63,13.17,18.84,0
01/31/2011,12.5,8.16,591,60.8,8.89,4.76,0.61,7.86,12,0
02/01/2011,12.5,8.18,795,55.3,8.69,5.14,0.61,15.99,21.05,0
02/02/2011,12.9,8.14,712,45.6,8.49,4.48,0.64,13.37,19.86,0
02/03/2011,13.5,8.09,618,41.5,7.25,3.85,0.66,10.69,16.04,0
02/04/2011,14.4,8.08,716,35.2,5.46,3.27,0.68,14.07,18.02,0
02/05/2011,15.2,8.07,731,36.2,4.38,3.27,0.66,14.37,20.84,0
02/06/2011,15.9,8.06,661,38.2,4.44,3.32,0.62,11.97,18.92,0
02/07/2011,16.6,8.18,642,39.1,8.12,4.45,0.62,11.64,17.37,0.01
02/08/2011,17.4,8.16,668,33.9,7.81,5.29,0.66,12.79,19.53,0
02/09/2011,17.8,8.14,712,40.4,7.4,5.49,0.67,13.74,21.52,0
02/10/2011,17.9,8.11,721,38.2,7.05,5.73,0.66,13.8,19.06,0
02/11/2011,17.6,8.05,679,31.8,5.94,5.8,0.61,12.57,20.11,0
02/12/2011,16.4,8.08,625,34,7.05,5.96,0.6,10.72,17.1,0
02/13/2011,15.6,8.09,627,33.3,7.37,5.6,0.63,10.24,16.46,0
02/14/2011,14.1,8.17,661,67.1,8.15,4.24,0.73,12.59,18.74,0
02/15/2011,12.7,8.15,517,183.4,8.7,7.53,0.63,10.04,15.06,0
02/16/2011,12,8.19,546,60.8,9.67,7.84,0.71,9.31,14.65,0
02/17/2011,11.9,8.16,372,92.1,10.61,6.6,0.71,4.88,10.96,0.04
02/18/2011,12.8,8.03,370,94.9,9.64,5.79,0.69,5.24,11.56,0
02/19/2011,13.6,7.98,385,59.1,8.69,5.5,0.68,4.44,11.4,0
02/20/2011,14,7.96,397,44.6,8.22,5.32,0.77,5.34,11.99,0
02/21/2011,14.5,7.92,523,49.3,7,5.17,0.71,8.74,15.3,0
02/22/2011,15.7,8,568,52.6,6.65,4.66,0.73,12.03,17.31,0
02/23/2011,16.9,8.02,563,31.9,6.3,4.16,0.73,9.74,17.18,0
02/24/2011,17.5,8,598,36.4,4.41,4.34,0.76,9.09,15.51,0
02/25/2011,18,8.07,596,108.7,5.3,4.67,0.78,10.29,17.58,0
02/26/2011,19.1,8.04,482,58.9,6.24,3.96,0.71,7.68,15.44,0
