时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,氰化物
11/14/2009 19:00:00,,,,,,2.65,0.24,0.46,1,
11/14/2009 21:00:00,,,,,,7.08,0.05,0.08,1.16,
11/14/2009 23:00:00,,,,,,7.59,0.05,0.08,1.08,
11/15/2009 01:00:00,,,,,,6.07,0.05,0.47,0.66,
11/15/2009 03:00:00,,,,,,6.12,0.05,0.09,1,
11/15/2009 05:00:00,,,,,,7.3,0.05,0.08,0.99,
11/15/2009 07:00:00,,,,,,7.49,0.04,0.08,0.93,
11/15/2009 09:00:00,,,,,,6.27,0.05,0.08,1.03,
11/15/2009 11:00:00,,,,,,7.45,0.05,0.08,1.04,
11/15/2009 14:38:00,,,,,,0.25,0.05,0.08,1.09,
11/15/2009 19:00:00,,,,,,0.25,0.05,0.08,1.01,
11/16/2009 01:00:00,,,,,,,0.24,0.45,0.98,
11/16/2009 07:00:00,,,,,,9.13,0.05,0.12,1.36,
11/16/2009 13:00:00,,,,,,6.03,0.07,0.12,1.19,
11/16/2009 19:00:00,,,,,,4.36,0.04,0.11,1.37,
11/17/2009 01:00:00,,,,,,7.25,0.24,0.44,1.14,
11/17/2009 07:00:00,,,,,,1.01,0.05,0.14,1.11,
11/17/2009 15:52:00,,,,,,5.89,0.04,0.13,0.93,
11/18/2009 02:00:00,,,,,,,0.24,0.45,0.72,
11/18/2009 08:00:00,,,,,,5.83,0.05,0.12,1.29,
11/19/2009 20:00:00,,,,,,5.32,0.25,0.44,0.88,
11/20/2009 02:00:00,,,,,,5.56,0.25,0.43,1.02,
11/20/2009 08:00:00,,,,,,2,0.05,0.07,1.17,
11/20/2009 20:00:00,,,,,,4.62,0.05,0.08,0.79,
11/21/2009 02:00:00,,,,,,5.11,0.24,0.44,0.97,
11/21/2009 08:00:00,,,,,,1.82,0.06,0.07,1.18,
11/21/2009 14:00:00,,,,,,2.17,0.05,0.07,1.05,
11/21/2009 20:00:00,,,,,,2.46,0.08,0.08,1.05,
11/22/2009 02:00:00,,,,,,4.99,0.28,0.43,0.96,
11/22/2009 08:00:00,,,,,,1.52,0.05,0.09,1.11,
11/22/2009 14:00:00,,,,,,2.18,0.04,0.1,1.3,
11/22/2009 20:00:00,,,,,,2.17,0.05,0.12,1.22,
11/22/2009 21:26:00,,,,,,1.96,0.05,0.1,1.15,
11/23/2009 03:26:00,,,,,,4.6,0.25,0.44,0.9,
11/23/2009 09:00:00,,,,,,1.79,0.05,0.09,1.25,
11/23/2009 15:00:00,,,,,,1.81,0.07,0.07,1.43,
11/23/2009 21:00:00,,,,,,1.7,0.04,0.05,1.37,
11/24/2009 03:00:00,,,,,,1.91,0.04,0.06,0.9,
11/24/2009 09:00:00,,,,,,1.96,0.05,0.09,1.44,
11/24/2009 15:00:00,,,,,,1.95,0.04,0.05,1.25,
11/24/2009 21:00:00,,,,,,1.8,0.04,0.03,1.41,
11/25/2009 03:00:00,,,,,,1.8,0.04,0.06,1.19,
11/25/2009 09:00:00,,,,,,1.8,0.04,0.07,1.19,
