时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素
01/01/2011,14.6,7.02,254,15.7,7.52,5.13,0.17,1.9,0.05,2
01/02/2011,14.3,7.1,265,15.6,7.47,4.73,0.17,2.14,0.11,2.3
01/03/2011,14.3,7.03,234,15.9,7.33,2.66,0.15,1.77,1.21,2
01/04/2011,13.9,7.38,351,18.2,9.06,3.2,0.19,3.16,5.71,2.9
01/05/2011,14.6,7.44,252,18.8,9.2,2.73,0.14,1.94,4.55,2.4
01/06/2011,14.8,7.33,211,17.8,8.03,2.69,0.12,1.16,3.73,2.1
01/07/2011,14.3,7.32,251,17,7.03,5.04,0.14,1.84,4.1,2.5
01/08/2011,13.9,7.37,278,16.4,7.35,2.38,0.14,2.71,5.28,1.6
01/09/2011,11.5,6.14,211,13.7,6.01,4.17,0.15,2.44,5.13,2.9
01/10/2011,14.2,7.33,246,16.7,7.17,2.52,0.13,2.23,4.74,2.5
01/11/2011,14.2,7.34,234,17,7.18,2.55,0.12,1.9,4.34,2.4
01/12/2011,13.8,7.31,224,16.5,7.16,2.7,0.11,1.91,4.15,1.7
01/13/2011,13.6,7.31,228,17.5,7.27,2.58,0.12,1.93,4.24,2.4
01/14/2011,14,7.27,231,17.2,7.23,2.43,0.14,1.85,4.22,2
01/15/2011,13.9,7.31,283,16.5,7.2,2.49,0.16,2.44,4.83,2.7
01/16/2011,13.8,7.26,249,16.3,7.32,2.79,0.15,2.09,4.82,2.6
01/17/2011,13.2,7.34,266,16.4,7.3,3.25,0.16,2.49,5.08,3.7
01/18/2011,13.1,7.33,248,17.3,7.4,3.35,0.15,2.23,4.38,3.2
01/19/2011,13.5,7.31,251,15.8,7.11,2.87,0.15,2.18,4.4,3.2
01/20/2011,13.9,7.3,276,15.6,6.86,2.39,0.14,3.04,4.7,2.8
01/21/2011,14.2,7.25,248,15.6,6.99,2.18,0.12,2.38,3.48,2.9
01/22/2011,11.6,6.02,170,13.4,6.04,2.19,0.11,1.52,3.08,3
01/23/2011,13.6,7.26,277,16.2,6.83,2.8,0.15,2.51,5.68,3.3
01/24/2011,13.4,7.26,286,16.1,6.77,2.85,0.16,2.49,5.64,3.2
01/25/2011,13.6,7.18,235,16.2,6.86,2.76,0.16,1.81,4.8,3.4
01/26/2011,13.5,7.18,228,15.7,6.69,2.56,0.14,1.78,4.68,2.8
01/27/2011,13.7,7.28,229,16.5,7.37,2.71,0.14,1.94,4.81,4.7
01/28/2011,13.7,7.32,275,16.4,6.99,2.83,0.16,2.65,5.61,4.8
