时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素
06/09/2010 13:05:00,,,,,,,,,,
06/10/2010 09:41:00,,,,,,0.25,0.00,0.03,0.05,
07/03/2010 15:41:00,,5.00,,,,3.96,0.21,0.97,0.05,
07/03/2010 21:41:00,,5.00,,,,4.25,0.17,0.94,0.05,
07/04/2010 03:41:00,,5.00,,,,3.21,0.17,0.96,0.05,
07/04/2010 15:41:00,,5.00,,,,3.74,0.18,1.00,0.05,
07/04/2010 21:41:00,,5.00,,,,3.77,0.18,0.95,0.05,
07/05/2010 03:41:00,,5.00,,,,3.53,0.17,0.99,0.05,
07/16/2010 21:00:00,,5.00,,,,2.15,0.13,0.19,2.07,
07/17/2010 03:00:00,,5.01,,,,5.07,0.12,0.18,2.04,
07/17/2010 09:00:00,,5.00,,,,4.10,0.11,0.17,2.13,
07/17/2010 15:00:00,,5.00,,,,4.06,0.10,0.17,2.18,
07/17/2010 21:00:00,,5.00,,,,4.68,0.10,0.15,2.16,
07/18/2010 03:00:00,,5.00,,,,4.36,0.09,0.12,2.16,
07/18/2010 09:00:00,,5.00,,,,3.65,0.09,0.10,2.12,
07/18/2010 15:00:00,,5.00,,,,3.81,0.08,0.08,2.08,
07/18/2010 21:00:00,,5.00,,,,1.25,0.08,0.03,2.18,
07/19/2010 03:00:00,,5.00,,,,3.48,0.08,0.03,2.24,
07/19/2010 09:00:00,,5.00,,,,3.95,0.12,0.56,2.24,
07/19/2010 15:00:00,,5.00,,,,4.44,0.11,0.59,2.23,
07/19/2010 21:00:00,,5.00,,,,2.41,0.10,0.53,2.21,
07/20/2010 03:00:00,,5.00,,,,4.07,0.09,0.53,2.27,
07/20/2010 09:00:00,,5.00,,,,4.17,0.09,0.50,2.24,
07/20/2010 15:00:00,,5.00,,,,4.64,0.08,0.43,2.21,
07/20/2010 21:00:00,,5.00,,,,2.27,0.08,0.31,2.24,
07/21/2010 03:00:00,,5.00,,,,4.02,0.07,0.25,2.28,
07/21/2010 09:00:00,,5.00,,,,4.29,0.07,0.18,2.27,
