时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素,藻青蛋白
01/01/2011,13.10,6.58,232.00,21.80,7.41,2.24,0.10,0.86,4.27,6.30,906.00
01/02/2011,13.50,6.59,234.00,50.70,7.50,2.29,0.09,0.73,4.17,5.40,863.00
01/03/2011,13.00,6.69,267.00,66.30,9.24,2.34,0.10,0.85,4.35,5.30,864.00
01/04/2011,12.80,6.88,253.00,27.80,9.65,2.35,0.11,0.65,3.74,5.30,880.00
01/05/2011,13.10,6.90,231.00,52.60,8.67,2.70,0.13,0.63,3.53,6.20,1088.00
01/06/2011,13.10,6.93,239.00,200.80,8.23,3.01,0.16,0.58,3.51,7.40,1560.00
01/07/2011,12.40,6.81,255.00,209.20,7.75,3.56,0.30,0.80,4.04,8.00,3974.00
01/08/2011,10.10,5.89,179.00,82.70,7.02,3.41,0.18,0.63,3.49,5.80,3230.00
01/09/2011,12.60,6.88,226.00,60.60,8.49,3.37,0.16,0.61,2.98,5.30,1658.00
01/10/2011,14.00,6.83,159.00,176.70,6.94,3.35,0.14,0.62,2.97,6.00,2343.00
01/11/2011,12.60,6.87,247.00,190.70,8.53,3.48,0.13,0.71,3.64,5.30,1193.00
01/12/2011,12.00,6.84,245.00,78.70,9.06,3.60,0.13,0.74,4.51,5.60,1388.00
01/13/2011,11.80,6.87,244.00,83.30,8.29,3.72,0.14,0.68,3.86,5.90,1489.00
01/14/2011,12.60,6.79,240.00,66.90,7.50,3.58,0.13,0.75,4.35,6.00,1340.00
01/15/2011,12.70,6.76,224.00,67.80,7.86,3.32,0.12,0.69,3.95,5.90,1284.00
01/16/2011,12.40,6.79,229.00,54.10,7.40,3.56,0.12,0.68,4.16,5.90,1328.00
01/17/2011,11.90,6.83,249.00,53.40,7.61,3.70,0.12,0.70,4.02,6.30,1258.00
01/18/2011,11.60,6.85,251.00,57.50,7.18,3.87,,0.73,3.99,6.40,1300.00
01/19/2011,12.40,6.75,279.00,43.90,6.92,3.87,0.12,0.89,4.52,7.50,1309.00
01/20/2011,12.60,6.72,265.00,48.90,6.65,3.74,0.11,0.79,4.53,10.20,1363.00
01/21/2011,12.60,6.70,264.00,38.20,6.53,3.91,0.10,0.75,3.45,11.40,1430.00
01/22/2011,10.70,5.75,222.00,55.50,5.95,4.54,0.21,0.72,3.38,3.00,743.00
01/23/2011,13.00,6.92,260.00,32.10,6.81,3.70,0.10,0.69,3.97,3.30,784.00
01/24/2011,12.60,6.96,261.00,30.90,6.66,3.88,0.09,0.82,4.64,3.30,776.00
01/25/2011,12.40,6.97,259.00,33.50,6.11,3.56,0.09,0.85,4.77,3.30,754.00
01/26/2011,12.60,6.99,247.00,29.70,6.15,4.06,0.09,0.69,4.47,3.20,702.00
01/27/2011,12.90,6.98,255.00,29.80,5.90,3.84,0.09,0.73,4.52,3.20,660.00
01/28/2011,12.90,6.96,258.00,42.60,5.98,3.63,0.09,0.77,4.36,3.00,672.00
01/29/2011,12.20,7.10,263.00,35.10,5.86,2.21,0.09,0.67,4.16,3.00,705.00
01/30/2011,12.00,7.18,258.00,40.40,5.44,2.41,0.08,0.65,3.99,3.00,697.00
01/31/2011,12.00,7.17,260.00,30.80,5.50,2.42,0.07,0.67,4.22,2.90,655.00
