时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素,藻青蛋白
02/03/2009 22:24:00,15.80,7.17,237.00,18.40,6.84,1.70,0.19,1.91,,5.90,1837.00
02/04/2009 00:00:00,15.70,7.16,237.00,21.80,6.89,2.10,0.18,1.85,,6.70,2565.00
02/04/2009 01:36:00,15.70,7.16,238.00,31.70,6.65,3.00,0.19,1.83,,8.80,2182.00
02/04/2009 03:12:00,15.70,7.15,239.00,26.00,6.82,2.40,0.15,1.87,,6.50,2500.00
02/04/2009 04:48:00,15.70,7.15,239.00,19.00,6.59,2.40,0.13,1.86,,8.50,2487.00
02/04/2009 06:24:00,15.50,7.32,236.00,23.00,6.81,2.50,0.12,1.78,,6.80,2279.00
02/04/2009 08:00:00,15.80,7.15,244.00,19.60,6.44,1.90,0.19,1.94,,5.20,1942.00
02/04/2009 09:36:00,15.80,7.17,245.00,20.50,6.38,2.30,0.19,1.93,,6.90,2062.00
02/04/2009 11:12:00,15.90,7.20,246.00,34.30,6.27,1.70,0.20,1.95,,11.60,3447.00
02/04/2009 12:48:00,16.80,7.35,246.00,34.10,7.24,2.80,0.19,2.02,,8.20,2869.00
02/04/2009 14:24:00,16.50,7.21,248.00,18.10,6.39,2.80,0.15,2.13,,8.70,1801.00
02/04/2009 16:00:00,16.50,7.24,252.00,19.50,6.78,1.90,0.12,2.07,,19.50,1966.00
02/04/2009 17:36:00,16.50,7.24,252.00,19.50,6.78,2.60,0.11,2.17,,19.50,1966.00
02/04/2009 19:12:00,16.40,7.23,251.00,17.20,6.65,1.40,0.19,1.85,,11.60,1720.00
02/04/2009 20:48:00,16.30,7.19,252.00,25.00,6.32,2.20,0.19,2.19,,9.30,1267.00
02/04/2009 22:24:00,16.30,7.17,255.00,29.90,6.07,1.60,0.20,2.16,,8.00,2970.00
02/05/2009 00:00:00,16.20,7.17,255.00,27.00,5.85,1.80,0.16,2.20,,6.90,2711.00
02/05/2009 01:36:00,16.30,7.16,256.00,26.60,5.89,1.90,0.16,2.10,,6.70,2655.00
02/05/2009 03:12:00,16.20,7.16,256.00,28.10,5.83,1.80,0.14,2.24,,6.80,2816.00
02/05/2009 04:48:00,16.20,7.15,255.00,20.90,5.75,1.90,0.21,2.10,,6.60,2086.00
02/05/2009 06:24:00,16.20,7.15,255.00,20.10,5.69,2.50,0.21,2.13,,6.40,2031.00
02/05/2009 08:00:00,16.20,7.15,255.00,21.40,5.78,2.60,0.20,2.10,,6.40,2172.00
02/05/2009 09:36:00,16.30,7.15,255.00,20.30,5.62,2.20,0.15,2.13,,6.90,2026.00
02/05/2009 11:12:00,16.80,7.16,255.00,17.10,5.82,2.20,0.16,2.08,,5.40,1718.00
02/05/2009 12:48:00,16.80,7.15,255.00,18.30,5.70,2.00,0.16,1.96,,6.40,1980.00
02/05/2009 14:24:00,17.80,7.19,254.00,17.00,6.10,3.00,0.18,2.05,,8.30,1619.00
02/05/2009 16:00:00,18.00,7.22,254.00,15.20,6.05,3.40,0.20,2.19,,14.00,1545.00
02/05/2009 17:36:00,18.20,7.28,254.00,15.20,6.79,2.70,0.20,2.16,,15.10,1506.00
02/05/2009 19:12:00,17.60,7.21,254.00,14.80,5.98,2.90,0.14,2.11,,9.60,1472.00
02/05/2009 20:48:00,17.50,7.20,254.00,37.40,6.17,1.90,0.14,2.27,,9.80,3734.00
02/05/2009 22:24:00,17.00,7.15,254.00,21.60,5.56,2.10,0.15,2.32,,8.80,2148.00
02/06/2009 00:00:00,16.90,7.13,254.00,17.50,5.55,1.20,0.21,2.27,,7.90,1746.00
02/06/2009 01:36:00,16.80,7.13,253.00,45.50,5.50,2.10,0.21,2.17,,7.20,4544.00
02/06/2009 03:12:00,16.90,7.13,254.00,20.00,5.30,2.50,0.22,2.20,,7.60,2017.00
